NAME,STREETADD,CITY,ZIP,STATE
Billie Jean King Main Library, 200 W. Broadway, Long Beach,90802,CA
Alamitos Neighborhood Library,1836 E. Third St.,Long Beach,90802,CA
Bach Neighborhood Library,4055 N. BellFlower Blvd.,Long Beach,90808,CA
Bay Shore Neighborhood Library,195 Bay Shore Ave.,Long Beach,90803,CA
Brewitt Neighborhood Library,4036 E. Anaheim St.,Long Beach,90804,CA
Burnett Neighborhood Library,560 E. Hill St.,Long Beach,90806,CA
Dana Neighborhood Library,3680 Atlantic Ave.,Long Beach,90807,CA
El Dorado Neighborhood Library,2900 Studebaker Rd.Long Beach,90815,CA
Harte Neighborhood Library,1595 W. Willow St.,Long Beach,90810,CA
Los Altos Neighborhood Library,5614 Britton Dr.,Long Beach,90815,CA
Mark Twain Neighborhood Library, 1401 E. Anaheim St.,Long Beach,90813,CA
Michelle Obama Neighborhood Library,5870 Atlantic Ave.,Long Beach,90805,CA
